global_rank,hash,family,known,equations,internal_frac,output_ratio,struct_score
71,7cbc3ce2052ba7c5b501f75af58ab3c4,cryptography-simon,sat,2976,0.614035,0.234211,3.76114523463788
98,90937ed75ba0560158d8fe45f303868a,polynomial-multiplication,unknown,3822,0.374838,0.589286,1.2699113502231123
131,27495ba0093076d2e39a9b218e521ee2,datapath-equivalence-checking,unsat,304,0.21118,0.602138,0.4806234393807577
123,2a38c5d48846ee1c35c4c40938082a16,datapath-equivalence-checking,unsat,868,0.179852,0.610925,0.47355104016735733
86,5ab5ac8d66c7e375037f12a536baf721,datapath-equivalence-checking,unsat,868,0.179283,0.611007,0.471953372770943
61,fac2035ba83ac2d0c2d67509d3f82b94,multiplier-equivalence-checking,unknown,826,0.0767015,0.707953,0.1504818009578353
33,211b0708454f7901054f5f92f525972e,datapath-equivalence-checking,unsat,317,0.0469867,0.686336,0.08492132226210346
108,8da88a43b4ac226f614dd82d4519d8c6,prime-factoring,sat,1023,0.0218902,0.590874,0.06207722152896264
